f:normalized relation similarity	d:number of concept pairs	d:number of edges of largest frame	d:number of matched frames	f:mean of within-blend semantic similarity	f:mean importance of vital relations	f:input spaces balance	d:graph's vertices	d:graph's edges	g:blend space
0.16666666666666666	-10.0	-8.0	7.0	0.36439653003199773	-0.537	-1.0	10	9	play_card|have_epileptic_fit,hasfirstsubevent,cheat|fall_down;knowledge_from_past|many_step_in_it,partof,some_book|stairwell;good_person|tightrope_walker,notdesires,cheat|fall_down;monkey|stair_down,usedfor,screw_in_lightbulb|get_to_basement;lie|stair,partof,some_book|stairwell;lie|stair,usedfor,cheat|fall_down;play_card|have_epileptic_fit,hasfirstsubevent,shuffle_card|lose_consciousness;go_to_casino|look_into_strobe_light,motivatedbygoal,play_card|have_epileptic_fit;monkey|stair_down,atlocation,some_book|stairwell;
0.125	-5.0	-8.0	16.0	0.15866843153609297	-0.625875	-1.0	8	8	house|human,antonym,tent|inhuman;cotton|machine_need_to,atlocation,fabric;house|human,desires,dress_up_when_they_go_out;house|human,capableof,cost_many_year_wage|row_boat;jump_rope|armpit,partof,house|human;cotton|machine_need_to,usedfor,fabric;jump_rope|armpit,hasprerequisite,have_jump_rope;tent|inhuman,madeof,fabric;
0.16666666666666666	-6.0	-4.0	8.0	0.3952396579957745	-0.8855555555555557	-1.0	10	9	nothing_to_write_with,partof,human_be|teacher;human_be|teacher,capableof,class_her_pupil;prepare_for_vote|compete_against_someone,causes,encourage;reach_advantage|start_flame_or_fire,causes,encourage;do_good_than_others|get_cigarette_light,motivatedbygoal,reach_advantage|start_flame_or_fire;ps2,usedfor,play_game|interest_student;register|have_opponent,motivatedbygoal,prepare_for_vote|compete_against_someone;human_be|teacher,capableof,encourage;human_be|teacher,desires,play_game|interest_student;
0.3333333333333333	-5.0	-4.0	3.0	0.6577646811908731	-0.917875	-1.0	8	8	lie|stair,atlocation,political_debate|closet;real_estate_agent,capableof,desire_for_closure|advertise;knowledge_from_past|many_step_in_it,partof,some_book|stairwell;real_estate_agent,capableof,lie|stair;lie|stair,partof,stairwell;lie|stair,partof,some_book|stairwell;real_estate_agent,capableof,be_incompetent;knowledge_from_past|many_step_in_it,partof,stairwell;
0.16666666666666666	-9.0	-8.0	7.0	0.308284452576585	-0.5885	-1.0	9	8	play_card|have_epileptic_fit,hasfirstsubevent,cheat|fall_down;knowledge_from_past|many_step_in_it,partof,some_book|stairwell;good_person|tightrope_walker,notdesires,cheat|fall_down;monkey|stair_down,usedfor,screw_in_lightbulb|get_to_basement;lie|stair,partof,some_book|stairwell;lie|stair,usedfor,cheat|fall_down;go_to_casino|look_into_strobe_light,motivatedbygoal,play_card|have_epileptic_fit;monkey|stair_down,atlocation,some_book|stairwell;
0.3333333333333333	-4.0	-4.0	3.0	0.5893176174290478	-0.9061428571428571	-1.0	7	7	lie|stair,atlocation,political_debate|closet;knowledge_from_past|many_step_in_it,partof,some_book|stairwell;real_estate_agent,capableof,lie|stair;lie|stair,partof,stairwell;lie|stair,partof,some_book|stairwell;real_estate_agent,capableof,be_incompetent;knowledge_from_past|many_step_in_it,partof,stairwell;
0.25	-6.0	-4.0	3.0	0.6346925141681737	-0.8727777777777779	-1.0	9	9	lie|stair,atlocation,political_debate|closet;real_estate_agent,capableof,desire_for_closure|advertise;knowledge_from_past|many_step_in_it,partof,some_book|stairwell;desire_for_closure|advertise,causesdesire,see_your_favorite_show|go_see_play;real_estate_agent,capableof,lie|stair;lie|stair,partof,stairwell;lie|stair,partof,some_book|stairwell;real_estate_agent,capableof,be_incompetent;knowledge_from_past|many_step_in_it,partof,stairwell;
0.3333333333333333	-5.0	-4.0	3.0	0.7066554410207484	-0.927	-1.0	9	9	lie|stair,atlocation,political_debate|closet;real_estate_agent,capableof,desire_for_closure|advertise;knowledge_from_past|many_step_in_it,partof,some_book|stairwell;real_estate_agent,capableof,lie|stair;lie|stair,partof,stairwell;index,partof,some_book|stairwell;lie|stair,partof,some_book|stairwell;real_estate_agent,capableof,be_incompetent;knowledge_from_past|many_step_in_it,partof,stairwell;
0.5	-3.0	-8.0	3.0	0.27532258155518397	-0.4275	-1.0	3	2	monkey|stair_down,atlocation,some_book|stairwell;monkey|stair_down,usedfor,screw_in_lightbulb|get_to_basement;
0.3333333333333333	-5.0	-8.0	4.0	0.43744469243229583	-0.71375	-1.0	5	4	lie|stair,partof,some_book|stairwell;monkey|stair_down,atlocation,some_book|stairwell;knowledge_from_past|many_step_in_it,partof,some_book|stairwell;monkey|stair_down,usedfor,screw_in_lightbulb|get_to_basement;
0.2	-3.0	-4.0	7.0	0.39831392355846196	-0.905125	-1.0	8	8	nothing_to_write_with,partof,human_be|teacher;human_be|teacher,capableof,class_her_pupil;teacher,capableof,encourage;reach_advantage|start_flame_or_fire,causes,encourage;ps2,usedfor,play_game|interest_student;human_be|teacher,capableof,encourage;human_be|teacher,desires,play_game|interest_student;nothing_to_write_with,partof,teacher;
0.19999999999999998	-5.0	-6.0	6.0	0.15986711006561083	-0.5375	-1.0	7	6	house|human,atlocation,mall|cabinet;house|human,antonym,tent|inhuman;cotton|machine_need_to,usedfor,fabric;many_shop|door,partof,mall|cabinet;tent|inhuman,madeof,fabric;many_shop|door,atlocation,lock_in_home;
0.3333333333333333	-3.0	-4.0	2.0	0.583627100538093	-0.8905	-1.0	6	6	stairwell,atlocation,apartment_build;knowledge_from_past|many_step_in_it,partof,some_book|stairwell;real_estate_agent,capableof,lie|stair;lie|stair,partof,stairwell;lie|stair,partof,some_book|stairwell;knowledge_from_past|many_step_in_it,partof,stairwell;
0.16666666666666666	-8.0	-8.0	7.0	0.21961885415746646	-0.5297142857142857	-1.0	8	7	play_card|have_epileptic_fit,hasfirstsubevent,cheat|fall_down;good_person|tightrope_walker,notdesires,cheat|fall_down;monkey|stair_down,usedfor,screw_in_lightbulb|get_to_basement;lie|stair,partof,some_book|stairwell;lie|stair,usedfor,cheat|fall_down;go_to_casino|look_into_strobe_light,motivatedbygoal,play_card|have_epileptic_fit;monkey|stair_down,atlocation,some_book|stairwell;
0.16666666666666666	-4.0	-4.0	8.0	0.3335708850096384	-0.8915714285714286	-1.0	8	7	nothing_to_write_with,partof,human_be|teacher;human_be|teacher,capableof,class_her_pupil;prepare_for_vote|compete_against_someone,causes,encourage;ps2,usedfor,play_game|interest_student;register|have_opponent,motivatedbygoal,prepare_for_vote|compete_against_someone;human_be|teacher,capableof,encourage;human_be|teacher,desires,play_game|interest_student;
0.2	-5.0	-3.0	4.0	0.08141093303994971	-0.7078	-1.0	6	5	house|human,antonym,tent|inhuman;tent|inhuman,madeof,fabric;house|human,capableof,cost_many_year_wage|row_boat;jump_rope|armpit,partof,house|human;cotton|machine_need_to,usedfor,fabric;
0.16666666666666666	-6.0	-6.0	18.0	0.493492242384226	-0.94525	-1.0	10	12	fingerboard|fur,partof,banjo|kitten;fingerboard|fur,partof,bear;nissan_make_car_person|bear,capableof,sleep_all_winter_long;fur,partof,husband|cat;nissan_make_car_person|bear,capableof,drive|eat_vegetable;husband|cat,madeof,fur;drive|eat_vegetable,motivatedbygoal,cruise;fur,partof,nissan_make_car_person|bear;bear,capableof,sleep_all_winter_long;fur,atlocation,husband|cat;fur,partof,banjo|kitten;husband|cat,desires,please_his_wife|hunt_mouse_and_bird;
0.09999999999999999	-9.0	-7.0	20.0	0.2679696642843134	-0.3562142857142857	-0.75	10	14	start_flame_or_fire|go_on_internet,usedfor,heat;fire|glass_case,hasprerequisite,heat;strike_match_against_something|buy_computer,motivatedbygoal,start_flame_or_fire|go_on_internet;start_flame_or_fire|go_on_internet,haslastsubevent,blow_it_out|connect;light_fire|use_television,haslastsubevent,move_away_from_flame|switch_it_off;heat,createdby,fire|glass_case;heat,locatednear,fire|glass_case;heat,antonym,coldness|need_for_information;start_flame_or_fire|go_on_internet,hasfirstsubevent,light_match_or_light|check_your_email;start_flame_or_fire|go_on_internet,hasprerequisite,strike_match_against_something|buy_computer;light_fire|use_television,causes,heat;start_flame_or_fire|go_on_internet,causes,heat;fire|glass_case,usedfor,both_good_and_bad|protect_sunglass;coldness|need_for_information,causesdesire,start_flame_or_fire|go_on_internet;
0.25	-9.0	-2.0	3.0	0.45169409112489045	-1.0	-1.0	10	9	fingerboard|fur,partof,banjo|kitten;husband|cat,capableof,honor_his_wife|appear_to_be_angry;nissan_make_car_person|bear,capableof,drive|eat_vegetable;husband|cat,madeof,fur;banjo|kitten,capableof,play_bluegrass_music|be_feed_small_quantity_often;fur,partof,nissan_make_car_person|bear;fingerboard|fur,partof,bow_string_instrument|most_cat;fur,partof,banjo|kitten;husband|cat,desires,please_his_wife|hunt_mouse_and_bird;
